x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
323203.86951610545,5052698.068265559,181.489831476,0.492805044903,0.0,0.0,0.0,1578167916.8806465,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323204.57662288664,5052698.24745374,181.489831476,0.492805044903,0.0,0.0,0.0,1578167916.9806464,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323205.28372966783,5052698.42664192,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.0806463,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323205.990836449,5052698.605830099,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.1806462,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323206.6979432302,5052698.78501828,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.280646,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323207.4050500114,5052698.96420646,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.380646,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323208.1121567926,5052699.14339464,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.480646,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323208.8192635738,5052699.32258282,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.5806458,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323209.526370355,5052699.501771,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.6806457,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323210.2334771362,5052699.68095918,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.7806456,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323210.94058391737,5052699.860147361,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.8806455,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323211.64769069856,5052700.0393355405,181.489831476,0.492805044903,0.0,0.0,0.0,1578167917.9806454,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323212.35479747975,5052700.21852372,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.0806453,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323213.06190426095,5052700.397711901,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.1806452,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323213.76901104214,5052700.576900081,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.2806451,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323214.47611782333,5052700.7560882615,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.380645,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323215.1832246045,5052700.935276441,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.480645,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323215.8903313857,5052701.114464621,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.5806448,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323216.5974381669,5052701.293652802,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.6806448,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323217.3045449481,5052701.472840982,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.7806447,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323218.0116517293,5052701.652029161,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.8806446,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323218.7187585105,5052701.831217342,181.489831476,0.492805044903,0.0,0.0,0.0,1578167918.9806445,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323219.4258652917,5052702.010405522,181.489831476,0.492805044903,0.0,0.0,0.0,1578167919.0806444,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323220.13297207287,5052702.189593702,181.489831476,0.492805044903,0.0,0.0,0.0,1578167919.1806443,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323220.84007885406,5052702.368781882,181.489831476,0.492805044903,0.0,0.0,0.0,1578167919.2806442,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
323221.54718563525,5052702.547970062,181.489831476,0.492805044903,0.0,0.0,0.0,1578167919.380644,0.2763516734671936,0.0,5.01660991812,nan,nan,2.125
